#Position (bp)	Coverage	Std
1.2454002175E9	4.732235358202126	8.779316618061335
1.2475472805E9	5.05374888045379	3.0126756282547054
1.2496474495E9	5.585928334002995	9.600876773122199
1.2538008935E9	5.282294662953315	4.655918378522058
1.2580012315E9	5.012634935569471	3.5230605863337034
1.2622015695E9	5.363060306099176	3.877074629973149
1.2664019075E9	5.413827649108239	4.767795303293349
1.2706022455E9	4.880067508852859	4.380920835635161
1.2748025835E9	3.8447177346204042	5.135634386966551
1.2775549185E9	3.382227071021795	4.350228474894751
1.2796550875E9	4.126057749880353	4.411819071429764
1.2832032595E9	4.736272176191535	4.2692529857297785
1.2874035975E9	4.989160396139549	6.4311957198580325
1.2916039355E9	5.391143760335478	3.8516918852298803
1.2958042735E9	5.330744573412901	3.928491459857843
1.3000046115E9	5.20456020444069	12.805219340536802
1.3042049495E9	4.960657213776606	5.263133690050134
1.3066270445E9	3.45788783757758	4.5535369051787695
1.3087272135E9	5.415272547115327	11.07007728868401
1.3126056255E9	5.19970464281684	3.9301466782913628
1.3168059635E9	6.368772941606128	18.787758012740973
1.3210063015E9	5.253669347562029	5.771515421366352
1.3252066395E9	5.417896607368264	4.679541121186445
1.3294069775E9	5.039310169800621	3.4188094686647768
1.333181222E9	3.977660505753773	4.375083329314809
1.335281391E9	6.775591507497768	24.449024190504208
1.3378076535E9	5.215800966493648	4.619702462126254
1.3420079915E9	4.938237827527213	4.928127027212392
1.3462083295E9	5.535309063223007	4.264727828323252
1.3504086675E9	5.464583326389448	4.321780246854802
1.3546090055E9	4.296539230890467	6.0442963604571505
1.3588093435E9	4.374509384720944	4.471355641850337
1.3630096815E9	3.291339173180825	4.511630501226128
1.3660089265E9	2.840870515951933	8.885607495958391
1.3681090955E9	5.017375840172243	11.869712196597984
1.3714103575E9	5.2746669434697875	19.27049209882315
1.3756106955E9	4.982455459536828	4.480674910915495
1.3798110335E9	5.366200767652508	4.105912369505987
1.3840113715E9	4.8551783213636615	6.9433226249529865
1.3882117095E9	5.27156766907806	3.7446898061760283
1.3924120475E9	4.382069490598138	4.518689615367492
1.3960490745E9	2.4806485049366955	3.6889599397164523
1.3981492435E9	2.577457212800744	3.6956444115244813
1.4008127235E9	4.244771492198961	3.6997012597280197
1.4050130615E9	5.149461067180784	3.340536676136457
1.4092133995E9	5.059666626828603	18.27083549501491
1.4134137375E9	4.906412055410779	5.584763880403097
1.4169317575E9	4.800065027989542	4.961743184300501
1.4190319265E9	1.6724232689156668	3.863551142031656
1.4218144135E9	2.98764313729038	6.476144486622659
1.4260147515E9	2.416423392593644	4.141897957581721
1.4302150895E9	2.302777538379054	8.103993356431893
1.4344154275E9	3.889760776394662	12.00764785004472
1.4386157655E9	4.291930078008008	3.870915832682429
1.4428161035E9	5.083678027815857	3.7331569200343258
1.4470164415E9	4.228344480848922	5.874146647398358
1.4512167795E9	5.153046731001171	12.201843604595902
1.453910522E9	4.624233561639797	6.768939398836208
1.456010691E9	7.00667199656444	38.41073682525358
1.4596174555E9	4.629094610957499	4.808619158479524
1.4638177935E9	4.982956847758443	4.4372948623284465
1.4680181315E9	4.734446132668371	4.293985379659693
1.4722184695E9	5.308527789906432	3.5756215459203537
1.4764188075E9	4.541382383989098	4.205509539001497
1.480345452E9	4.044149784653558	4.1253676611325
1.482445621E9	3.3931149260029922	3.711169940554698
1.4848194835E9	4.634062782566546	4.236583061659227
1.4890198215E9	6.160354476235008	33.526736412492625
1.4932201595E9	4.791089193298253	4.2943335266607825
1.4974204975E9	5.046057960097497	4.916031874173734
1.5016208355E9	4.83806422245067	4.42489951592459
1.5051343345E9	3.692568614548619	4.313214256906794
1.5072345035E9	2.725640215538139	3.629305788824446
1.5100215115E9	3.627353084442252	4.163859469082361
1.5142218495E9	4.56960582695964	4.391119927281679
1.5184221875E9	4.605016072516069	4.655209427300456
1.5226225255E9	5.0277813356925085	3.2129534626168934
1.5268228635E9	5.195614257709737	5.822131129674384
1.5299685005E9	4.200429855337514	9.365407861737866
1.5319649745E9	3.4931935234898623	5.6274058524885815
1.5329475745E9	0.06809837310881812	0.45134196027768
1.532991166E9	1.3398207959991666	2.413910510110739
1.533063267E9	2.620304973919988	4.226514788173867
1.5332701695E9	3.2181315949018727	6.00566238714061
1.5334175815E9	0.43230016313213704	1.2993912491127526
1.533772269E9	2.6383882488007466	3.980020859124742
1.534147851E9	0.04823898640009299	0.38596798971573126
1.5342125205E9	0.9523191696399611	2.3361634179385646
1.5342567805E9	0.0	0.0
1.5342589155E9	1.6894889103182256	2.536236895323387
1.534261086E9	0.0	0.0
1.5342632255E9	2.2420477137176937	4.857205506053023
1.5342659025E9	0.0	0.0
1.5342684385E9	2.179190751445087	4.3821761954641305
1.534270413E9	12.565570076611086	5.300182383964705
1.5342725255E9	0.14955134596211367	0.38607362183341826
1.534274595E9	0.0	0.0
1.534276519E9	0.0	0.0
1.5342782455E9	3.298043728423475	3.2340606745220812
1.534281289E9	0.13635318464014717	0.5189000872314989
1.5342844085E9	0.0	0.0
1.534289687E9	5.94034844813661	17.605322679206292
1.5342975395E9	5.774793975561239	5.600194349731076
1.534326392E9	348.9547634555036	608.053051656021
