#Position (bp)	insert size
1.5414428565E9	361.25
1.5414554455E9	297.83916083916085
1.541475436E9	290.3728813559322
1.541494956E9	322.1907894736842
1.541515055E9	294.9189189189189
1.541526399E9	291.6666666666667
1.5415390745E9	314.6
1.5415598775E9	319.034632034632
1.5415811005E9	305.45454545454544
1.5416019615E9	320.6788617886179
1.5416221915E9	321.92138939670934
1.541635136E9	313.4918032786885
1.541639974E9	289.6666666666667
1.541646654E9	317.7611607142857
1.5416604145E9	316.5921787709497
1.541678132E9	321.5
1.5416942445E9	264.0
1.5417102135E9	316.2229299363057
1.5417270655E9	298.484375
1.5417433965E9	315.98275862068965
1.541759752E9	283.6666666666667
1.5417685175E9	0.0
1.5417803215E9	324.46153846153845
1.541799884E9	267.0
1.5418105155E9	178.0
1.5418231035E9	320.8780487804878
1.541840609E9	0.0
1.541854823E9	296.85074626865674
1.541863697E9	325.0592409750077
1.541872504E9	333.6666666666667
1.5418863105E9	311.3333333333333
1.541899496E9	292.3333333333333
1.541910623E9	315.5365853658537
1.5419219215E9	0.0
1.5419333895E9	307.18108108108106
1.5419439915E9	307.2068965517241
1.5419513535E9	0.0
1.541954256E9	318.03333333333336
1.5419583925E9	305.1783665665119
1.5419621365E9	331.46031746031747
1.5419675115E9	221.0
1.5419764855E9	286.5357142857143
1.5419852615E9	0.0
1.541992257E9	0.0
1.5419966345E9	239.66666666666666
1.542001997E9	329.2631578947368
1.542008652E9	0.0
1.5420148815E9	297.06451612903226
1.542023438E9	308.93243243243245
1.542030153E9	0.0
1.5420329345E9	313.875
1.542035891E9	307.17424242424244
1.542045101E9	290.4
1.5420624925E9	319.27225130890054
1.542139887E9	315.1080852662222
1.5422242065E9	303.9285220994475
1.5422415565E9	278.77777777777777
1.5422438735E9	0.0
1.5422477835E9	0.0
1.542252008E9	0.0
1.542254721E9	0.0
1.542256648E9	0.0
1.5422588285E9	0.0
1.54226241E9	0.0
1.542266392E9	0.0
1.5422690505E9	284.2857142857143
1.5422711805E9	0.0
1.542273214E9	0.0
1.5422790555E9	317.71374407582937
1.542285003E9	296.29761904761904
1.5422871005E9	0.0
1.5422893305E9	0.0
1.5422915395E9	0.0
1.542294339E9	0.0
1.542300073E9	0.0
1.542305091E9	0.0
1.5423215385E9	305.27179226715765
1.5423464935E9	309.5186246418338
1.542384637E9	317.172268907563
1.542468598E9	311.1315605806812
1.5425367985E9	321.85714285714283
1.542560657E9	306.4364406779661
1.542584191E9	314.72906403940885
1.5426054285E9	307.0999345406939
1.5426277845E9	307.94117647058823
1.542646258E9	305.825
1.542659304E9	312.51612903225805
1.542667869E9	159.0
1.5426799915E9	316.9866666666667
1.5427026545E9	308.01176470588234
1.542715033E9	0.0
1.542729711E9	320.84615384615387
1.5427463225E9	346.85714285714283
1.542755326E9	314.54545454545456
1.542763513E9	298.9117647058824
1.5427753755E9	321.67088607594934
1.5427852725E9	230.0
1.542793413E9	284.21875
1.542819311E9	314.56478733926804
1.5428490235E9	315.61290322580646
1.542866105E9	295.4166666666667
1.5428825775E9	330.27272727272725
1.5428946985E9	308.0
