#Position (bp)	mapping quality
1.2622015695E9	34.58482117735135
1.2664019075E9	35.37407603050358
1.2706022455E9	33.202817424526394
1.2748025835E9	30.02889227463629
1.2775549185E9	24.92554458709837
1.2796550875E9	28.495015320361947
1.2832032595E9	32.71675035869452
1.2874035975E9	34.09630556681772
1.2916039355E9	34.22617051292879
1.2958042735E9	33.47474667552104
1.3000046115E9	28.067002670473602
1.3042049495E9	30.234813544817303
1.3066270445E9	26.40618978910575
1.3087272135E9	28.398949351630975
1.3126056255E9	31.89027970171612
1.3168059635E9	24.400167838120293
1.3210063015E9	32.799179847950256
1.3252066395E9	34.98260445811537
1.3294069775E9	34.48558363039765
1.333181222E9	31.296606319156968
1.335281391E9	16.856953059363548
1.3378076535E9	30.48636506037358
1.3420079915E9	32.33146302377234
1.3462083295E9	33.70878342583699
1.3504086675E9	33.99618152269775
1.3546090055E9	29.308792520737445
1.3588093435E9	28.847145730723554
1.3630096815E9	23.51302375328626
1.3660089265E9	14.368116694663776
1.3681090955E9	28.199585993293038
1.3714103575E9	27.62682598025343
1.3756106955E9	32.399236327869566
1.3798110335E9	33.68564079033418
1.3840113715E9	30.882818377246483
1.3882117095E9	35.005315890051925
1.3924120475E9	29.13337287342373
1.3960490745E9	20.964233370114236
1.3981492435E9	22.68511811417761
1.4008127235E9	30.892159410728905
1.4050130615E9	34.99429116078433
1.4092133995E9	29.633081161780577
1.4134137375E9	30.383796611468057
1.4169317575E9	29.01923868178422
1.4190319265E9	18.965612906243624
1.4218144135E9	16.481030257515997
1.4260147515E9	21.440238777071688
1.4302150895E9	12.336826266546963
1.4344154275E9	25.36206367073211
1.4386157655E9	31.97661360452142
1.4428161035E9	30.530198291053182
1.4470164415E9	28.355603469383812
1.4512167795E9	30.985195395108637
1.453910522E9	22.66952362601139
1.456010691E9	15.85557168128861
1.4596174555E9	31.19214599939958
1.4638177935E9	34.03691776312512
1.4680181315E9	34.039686490228185
1.4722184695E9	35.25513258421213
1.4764188075E9	32.72617048921323
1.480345452E9	29.199357061155528
1.482445621E9	28.20607773085789
1.4848194835E9	32.382318465831354
1.4890198215E9	24.277694998839856
1.4932201595E9	33.057315504385016
1.4974204975E9	32.17718074400711
1.5016208355E9	33.80677327385221
1.5051343345E9	29.621501211194122
1.5072345035E9	26.047648914458055
1.5100215115E9	30.78318849575355
1.5142218495E9	33.402224298132154
1.5184221875E9	33.184062263957095
1.5226225255E9	34.47750227130673
1.5268228635E9	28.951653303094545
1.5299685005E9	15.96293244653843
1.5319649745E9	16.59612106001113
1.5329475745E9	3.6844106463878328
1.532991166E9	20.65547719503557
1.533063267E9	18.809579379055943
1.5332701695E9	15.741348795926719
1.5334175815E9	0.0
1.533772269E9	22.240544967435415
1.534147851E9	26.056151940545003
1.5342125205E9	11.749169805709753
1.5342567805E9	0.0
1.5342589155E9	25.91005291005291
1.534261086E9	0.0
1.5342632255E9	17.676968359087564
1.5342659025E9	0.0
1.5342684385E9	14.167127836192584
1.534270413E9	25.058239434734897
1.5342725255E9	2.0
1.534274595E9	0.0
1.534276519E9	0.0
1.5342782455E9	29.71197948098974
1.534281289E9	0.0
1.5342844085E9	0.0
1.534289687E9	11.892976058347868
1.5342975395E9	19.16146349520978
1.534326392E9	6.425364502542154
1.534363874E9	9.545819725669498
1.5343894365E9	5.626391908497967
1.534417065E9	4.273650094690463
1.534436416E9	25.548178099728354
1.5346041395E9	12.765073059366806
1.534905752E9	21.009061333377062
1.5350721975E9	6.13414800618103
1.5351082705E9	27.033066554338667
1.5351183655E9	24.444444444444443
1.5351231315E9	31.846023818670766
1.535135803E9	6.605626699192023
1.5351644E9	10.720317775571003
1.535191478E9	18.220246514447364
1.5351996305E9	0.0
1.5352030535E9	14.030601893597836
1.535211418E9	0.0
1.535310377E9	8.726708389061587
1.535415429E9	14.168294121502065
1.535435955E9	11.474497269942736
1.535453457E9	12.483178154719273
1.535468772E9	9.57331256750986
1.5354796715E9	1.0
1.535489422E9	17.257125344774746
1.53549543E9	0.0
1.5354981925E9	6.0
1.5355033375E9	0.0
